tokens;date;group
"предлагать обсудить данный докемент необходимость подправить дополнить также присоедениться поддержка . глава республика карелия господин худилайнен александр петрович обращение уважаемый александр петрович этнический карел проживать территория республика карелия предел сильно обеспокоить количество этнический карел проживать карелия последний несколько десятилетие сильно сократиться продолжать сокращаться . также беспокойство вызывать факт количество карел носитель язык среди карельский население республика также сокращаться год год . причина уменьшение численность карел целое карел говорящий родный язык видеть весь система образование республика построить русский язык начинать дошкольный программа заканчивать высокий учебный заведение сторона способствовать продвижение русский язык сторона вытеснять карельский язык быт карел нация . хотеть обратить ваш внимание согласно конституция карелия этнический карел проживать территория карелия гарантировать определённый право частность глава статья пункт исторический национальный особенность республика карелия определяться проживание территория карелов . глава статья пункт республика карелия народ проживать территория гарантироваться право сохранение родный язык создание условие изучение развитие . также хотеть обратить ваш внимание год республика карелия утвердить программа развитие карельский язык год . очень радовать наличие следующий пункт среди различный мероприятие дать программа например пункт разработка принятие необходимый нормативный правовой научно-методический база государственный образовательный стандарт область карельский язык сопровождать пакет документ программа учебно-методический комплекс др . внедрение система образование республика карелия вызывать беспокойство сей пора конкретный программа сделать . связь весь вышесказанный просить поручить министерство образование карелия начало учебный год разработать программа обучение детсадовский школьный программа начальный класс карельский язык внедрить существующий система дошкольный школьный образование территория карелия упомянуть год . считать обучение русский язык государственный язык республика часть программа достаточно обеспечить достаточный уровень знание государственный язык рк рф карельский ребёнок мочь дальнейший оставаться полноценный член общестав это свободно владеть родный язык . верить ребёнок дошкольный школьный возраст представлять территория карелия карельский этнос предоставить возможность обучаться карельский язык место компактный проживание дошкольный школьный программа это очень помочь сохранить дальнейший развивать карельский язык карельский культура территория карелия предел . искренне надеяться ваш понимание сложиться ситуация помощь данный вопрос . уважение представитель карельский общественность .";2015-01-23 18:15:23;karjalan_kieli
"секунда-sekunti минута-minuutti полчаса часа-kaksi утро-huomenes день-päivä вечер-ilta ночь-yö утром-huomeneksella днем-päivällä вечером-illalla вчера-eklein сегодня-tänäpiänä завтра-huomena послезавтра-ylihuomena позавчера-toissapiänä завтра вечером-huomena рано-aikaseh поздно-myöhäh пораньше-aikasempah попозже-myöhemmin фраза сколько время .  шесть часов-kello половина деcятого-kello пять минута пятого-kello пятнадцать минута одиннадцатый двадцать пять минута четвертого-kello двадцать минута второго-kello десять минута восьмого-kello тридцать пять минута десятого-kello десять третьего-kello двадцать пять минута двенадцатого-kello пятнадцать минута четвертого-kello .";2015-01-25 18:37:30;karjalan_kieli
"весь добрый ночь посоветовать пожалуйста всё-таки хороший диалект карельский язык начинать изучать нуль частый разговаривать . мурманский область книга карельский язык город вообще никакой поэтому благодарный подсказать пособие который хороший весь подойти начальный изучение .";2015-01-29 23:53:30;karjalan_kieli
"värit-цвет . valkie-белый . musta-чёрный . sinini-синий . kahvivärini-коричневый . keltani-жёлтый . sireeni-сиреневый . vihrie-зелёный . oranssi-оранжевый . harmua-серый . pruuni-бордовый . fioletti-фиолетовый . vualiensinini-голубой . ruskie-красный . vualienruskie-розовый . kullanvärini-золотистый . hopienvärini-серебристый .";2015-02-24 22:33:01;karjalan_kieli
"карельский пингвин .";2015-03-02 15:49:39;karjalan_kieli
"подсказать пожалуйста карельский медвежий шкура .";2015-03-05 17:46:31;karjalan_kieli
"подсказать пожалуйста . русско-карельский разговорник .";2015-03-20 21:09:43;karjalan_kieli
"привет . звать татьяна . хотеть приобрести русско-карельский разговорник автор галина леттиева . мочь помочь это .";2015-03-25 16:40:38;karjalan_kieli
"кинуть хороший словарь легко быстро научиться алфавит .";2015-05-12 16:10:10;karjalan_kieli
"фраза перевод карельский язык русский буква . выпуск . источник словарь пунжиной .";2015-05-14 14:52:39;karjalan_kieli
"портал доступный аудиозапись тверской диалект карельский язык тверской областной универсальный научный библиотека также хантыйский газета лух авт несколько книга хантыйский язык . подробность читать наш блог .";2015-06-23 10:55:23;karjalan_kieli
"терви-привет. пока .";2015-06-24 00:12:37;karjalan_kieli
"разговор стол карельский .";2015-07-14 13:38:16;karjalan_kieli
"дорогой друг . сожаление наш группа застрять место . следствие администрация появиться предложение весь участник желать выучить карельский язык . предлагать выразить свой пожелание слово тема хотеть узнать наш группа фраза интересный карельский язык прочее . свой предложение мочь писать комментарий личка администратор . постараться учесть каждый мнение подготовить подборка слово фраза ваш желание . тема опубликовать смочь попробовать создать диалог соответствовать направленность поговорить карельский язык самый закрепить получить знание . ждать ваш предложение . уважение администрация группа учить карельский язык .";2015-07-27 18:57:14;karjalan_kieli
" карельский язык слово мушний оно мочь означать . спасибо заранее .";2015-07-28 02:49:24;karjalan_kieli
"стоить развивать группа выкладывать новый слово фраза .";2015-07-28 16:45:12;karjalan_kieli
"           твой любимый занятие . спать . почему . ленивый . любить спать ленивый . нравиться спать сон мир . сказка.т сказка который подходить . который нравиться . мочь любить мечтать жить хотеть понимать . сон хороший хороший жизнь . собственно-карельский наречие .";2015-08-04 22:31:55;karjalan_kieli
"добрый день друг . подсказать карельский слово черника . заранее спасибо .";2015-08-20 12:54:05;karjalan_kieli
"танапять новзный улен айгойя кенгамхта ляхтный евеле кирьютан руон ковать мид оди карьялан киалеть синуль .";2015-08-21 13:01:18;karjalan_kieli
"весь родня тверской карел . прабабка разговор переходить карельский . знать очень мало слово жалеть пытаться учить язык . помнить слово мидти . ховка -собака . кен -кто . ещё несколько слово .";2015-09-18 22:56:00;karjalan_kieli
"понимать группа писать хотеть понять бесплатно это понять тестовый версия глюк кстати такойж русско-карельский .";2015-10-05 20:56:27;karjalan_kieli
"первый слово по-карельски тверской говор .";2015-11-12 18:03:33;karjalan_kieli
"сказать пожалуйста аудиозапись произношение буква карельский язык .";2015-11-14 04:00:36;karjalan_kieli
"сборник стих . тарасов . карельский язык .";2015-11-22 11:25:06;karjalan_kieli
"сказка курочка ряба карельский русский буква .";2015-11-22 18:21:42;karjalan_kieli
"просить прощение беспокойство . предок жить район суходолить ранний метрический книга век записать фамилия . последствие стать писаться перевод финский колбаса . мочь первоначальный написание фамилия иметь карельский корень . всё-таки колбаса преобразоваться . спасибо .";2015-12-08 14:36:38;karjalan_kieli
"друг . наступать новый год . желать новый год весь земной благо успех изучение язык .";2015-12-31 14:51:13;karjalan_kieli
"поговорка .";2016-01-05 20:24:52;karjalan_kieli
"внимание . событие новый год . сеть появиться запись белый танец карельский язык . карельский полька тулэ-тулэ перевод аркадий токарев легендарный вальс белый танец перевод татьяна баранов звукозапись григорий зимин автор проект ольга гоккоева приятный прослушивание . надеяться порадовать приятно удивить необычный звучание белыйтанец карельскийязык петрозаводск творческаясемье виа семья .";2016-01-12 00:42:25;karjalan_kieli
"родиться север карелия тикша бывший ругозёрский сегежский муезерский район.ть семья карельский год знать русский язык пока пойти школу.ный сожаление забыть карельский язык всё равно какой-то ностальгия есть.теперь живить финляндия говорить финский услышать карельский слово разговор душа радуется.поэтый удовольствие вспоминать свой язык .";2016-01-20 09:32:08;karjalan_kieli
"новый поступление портал . коллекция добавить ссылка оцифрованный тверской областной библиотека газета тверской диалект карельский язык . ознакомиться номер газета ссылка .";2016-01-20 17:02:16;karjalan_kieli
"добрый время сутки . искать человек который способный рассказать основа карельский язык . интернет должный информация находить . связаться лс заранее спасибо .";2016-01-30 22:08:11;karjalan_kieli
"рекорд скачивание . январь год пользователь произвести скачивание различный материал основное счёт российский пользователь различный больший очень финно-угорский район область . благодарить весь наш пользователь интерес проект . новый поступление газета удмуртский коми язык просмотреть финноугра коренныенарод .";2016-02-01 13:27:40;karjalan_kieli
"человек помочь пожалуйста . ученик класс знать свой родный язык карельский . трудно написать комментарий нибыть стих вид карельский перевод читаться . очень просить например сегодня встать рассвет босиком пойти река написать стих это карельский язык . танапять новзный улен айгойя кенгамхта ляхтный евеле кирьютан руон ковать мид оди карьялан киалеть синуль .";2016-03-11 22:46:44;karjalan_kieli
"сказать аудио учебник карельский .";2016-03-21 16:42:05;karjalan_kieli
"здравствуйте.как карельски называться валенок букв.4 буква .";2016-04-19 20:56:45;karjalan_kieli
"страница газета . материал предоставить марина занина .";2016-04-25 22:23:22;karjalan_kieli
"бабушка карелка прионежский район знать частушка который быстрый поиск видеть запись . ещё уметь плакидать оплакивать умерший . мочь заниматься частушка это жанр нужный парочка материал . долгий срок остаться поколение .";2016-04-26 15:13:02;karjalan_kieli
"портал свободный доступ выложить газета карельский язык олонецкий звезда колхозный стройка особенно интересный весь интересоваться тверской диалект карельский язык .";2016-05-03 15:43:02;karjalan_kieli
"весь интересный карельский язык . появиться текст перевод песня уйти карельский музыкант лео севец ругать мама . перенести текст бумага выполнить перевод татьяна баранов . лео севец музыкант-оркестр . виртуозно играть многий народный инструмент струнный кантеле йоухикко гитара . участник народный ансамбль кантеле вокалист легендарный карельский группа . весь свой душа глубоко чувствовать народный музыка . инструмент рука играть разговаривать . лео исполнять народный песня финский карельский русский язык . нажать название песня открыться текст перевод .";2016-05-05 19:13:35;karjalan_kieli
"добрый день подсказать аудио разговорник .";2016-05-20 09:44:22;karjalan_kieli
"очень благодарный подписка инстаграм . учимкарельскийязык спам .";2016-05-27 10:23:33;karjalan_kieli
"добрый день подсказать пожалуйста это дословный перевод . -эта сказка скала сосна правильно перевести русский фраза карельский . также очень благодарный транскрипция .";2016-05-31 16:11:52;karjalan_kieli
"карелия услышать карельский познакомиться карельский быт . дублироваться карелия объявление карельский . еда туда конец июнь регион помимо природный красота интересный культурный план .";2016-06-06 08:40:05;karjalan_kieli
"приветствовать весь . начинать узнавать свой корень хотеться узнать национальный костюм нигде мочь найти информация узор вышивка вообще . благодарный . ";2016-06-07 15:25:52;karjalan_kieli
"друг помочь пожалуйста перевод следующий слово каска ситта акка вехти сярка пюхта заранее благодарить карелия ладога хотеть близкий остров оставить табличка название слово первый пол слово второе саари это остров понимать .";2016-07-29 16:11:37;karjalan_kieli
"оргалит масло . саамский утренний звезда . традиционный символ финно-угорский народ .";2016-07-29 16:29:18;karjalan_kieli
"аудиобиблия северо-карельский знать это группа нужно мочь сказать качество ибо язык владеть вместе текст аудио нажать кнопка плей вид радио ссылка радио аудио-плеер где-то наверняка способ слушать это мобильный приложение .";2016-08-16 23:29:19;karjalan_kieli
"аудиобиблия северо-карельский знать это группа нужно мочь сказать качество ибо язык владеть вместе текст аудио нажать кнопка плей вид радио ссылка радио аудио-плеер где-то наверняка способ слушать это мобильный приложение .";2016-08-17 16:42:13;karjalan_kieli
"друг . приглашать вступить группа финляндия лицо сообщество известный очень финн . каждый день новый лицо . узнать свой сосед большой . ";2016-09-14 23:03:03;karjalan_kieli
"друг помочь перевод .    ";2016-09-19 22:59:17;karjalan_kieli
"весь привет . шумбра валск . семья мама ардатовский эрзянин . вопрос знаток насколько эрзянский отличаться карельский . разговаривать немой старший родственник многие умереть учиться .";2016-10-05 10:07:18;karjalan_kieli
"помочь пожалуйста . мочь энциклопедический статья понять карельский язык объектный согласование глагол . сказуемое согласоваться подлежащее дополнение . очень благодарный помощь .";2016-10-23 00:58:37;karjalan_kieli
"просить выставить новость лицо группа санкт-петербург . суббота проходить бесплатный курс карельский язык библиотека национальный литература . ждать .  наталья .";2016-10-25 01:00:20;karjalan_kieli
"санкт-петербург . суббота проходить бесплатный курс карельский язык библиотека национальный литература . ждать .  наталья .";2016-10-25 22:16:50;karjalan_kieli
"помочь выучить карельский язык .";2016-10-29 21:55:13;karjalan_kieli
"добро пожаловать группа музей православный церковь финляндия риза . магазин маленький византия музей наличие книга карельский язык фотоальбом стена информация литургия иоанн златоуст перевести архиепископ карельский весь финляндия лео книга мумми-троллей аудиокнига исполнение архиепископ калевала-эпос .";2016-11-03 13:00:36;karjalan_kieli
"мочь помочь выучить карейский язык .";2016-11-20 17:19:21;karjalan_kieli
"оргалит масло классический финно-угорский символика исполнить традиционный цвета тверин карьял . данный артефакт-оберег предназначить исключительно сельский хутор крайний случай дом деревня основный предназначение заключаться поддержание плодородие дикий луг домашний огород это разбрасывание навоз межсезонье никто отменять иначе говорить молитва сытый .";2016-11-23 18:58:30;karjalan_kieli
"ребята мочь кто-нибудь помочь вопрос падеж . русский найти карельский нету мочь кто-то написать .";2016-12-17 13:55:27;karjalan_kieli
"помочь совет пожалуйста хотеть учить карельский язык сказать горе желание выучить знать начать учить помочь пожалуйста начать .";2016-12-27 11:54:40;karjalan_kieli
"прочесть вопорос-ответ комментарий онлайн словарь помощь .";2017-01-03 18:21:30;karjalan_kieli
"звучать никитинский милена .";2017-01-07 21:42:28;karjalan_kieli
"дама господин учебник ольга карлов указать пояснение русский . подходить носитель собственно-карельский .";2017-01-10 22:35:07;karjalan_kieli
"нужный перевод слово встретить сборник упражнение карельский язык . контекст . словарь карельский найти финский перевести смочь .";2017-04-02 10:05:42;karjalan_kieli
"здравствуйте хотеться узнать фамилия карельский . ";2017-04-06 00:42:57;karjalan_kieli
"наконец-то выйти электронный версия книга тверская карелия . рождение нация . её страница впервые история тверская карелия заговорить собственный язык язык национальный возрождение . искренне надеяться книга интересный житель тверской карелия бежецкий верх тверь который изначально написать также весь интересоваться проблема современный регионализм история россия финляндия . приобрести книга .";2017-04-10 15:58:01;karjalan_kieli
"можести скинуть сылка словарь слово карейский писаный русский .";2017-04-14 07:10:52;karjalan_kieli
"написать куриный дом курятник вроде кан кодить по-карельски . спасибо .";2017-05-08 18:42:27;karjalan_kieli
"здраствовать помочь пожалуйста перевод фамилия род всё апрель папин линия сомнение карельский .";2017-05-12 12:43:47;karjalan_kieli
"текст перевод ливвиковский наречие . источник .";2017-05-14 13:28:29;karjalan_kieli
"желать учить карельский тверской северо-карельский обращаться личка .";2017-05-16 16:00:40;karjalan_kieli
"фраза карельский перевод .";2017-05-24 12:06:18;karjalan_kieli
"по-нашему по-карельски праздник .";2017-06-06 18:57:45;karjalan_kieli
"добрый день . перевести мергуба мергубский озеро . муезерка слово мочь основа слово .";2017-06-22 12:11:41;karjalan_kieli
"здравствуйте . собираться скоро посетить карелия . хотеть найти значение название карелия что-то поиск затрудняться взаимоисключающий информация . рассказать . спасибо .";2017-07-08 21:19:27;karjalan_kieli
"добрый день . подсказать пожалуйста всё-таки произноситься карельский язык . это чистый русский язык . северо-карельский диалект её вроде вообще опираться труд грамматика карельский язык п.м.зайк словарь . благодарный любой мнение утверждение .";2017-08-17 14:31:02;karjalan_kieli
"группа создать интересный тверской диалект карельский .";2017-08-20 22:59:10;karjalan_kieli
"подсказать пожалуйста правильно карельский написать название река ривица .";2017-08-25 12:03:30;karjalan_kieli
"мышонок лисичка . сказка перевод автор сказка русский язык -людмила мехед перевод карельский-гилоева наталья .";2017-08-26 18:44:11;karjalan_kieli
"товарищ карел репост запись огромный благодарность😊 группа учить карельский язык найти . учебный пособие изучение карельский язык . разговорник карельский язык . словарь карельский язык . текст карельский язык перевод . аудио карельский язык видео карельский язык учебный материал изучение карельский язык различный говор .";2017-08-27 20:42:54;karjalan_kieli
"москва вднх сентябрь рамка фестиваль национальный культура проводить мастер-класс карельский язык . время . приходить всё интересно . наталья синицкай .";2017-08-29 13:14:11;karjalan_kieli
"карельский сказка перевод скан .";2017-09-12 13:43:31;karjalan_kieli
"начало ранее объявить занятие тема карельский глагол санкт-петербург переноситься октябрь . ";2017-10-16 22:10:58;karjalan_kieli
"пт крельск дело привет здраствовать .";2017-10-23 12:02:13;karjalan_kieli
"оловянный солдатик аленький цветочек .";2017-10-29 21:09:24;karjalan_kieli
"кто-то интересовать группа организовать молодёжь cтудента твг направить сохранение этногруппа карел сюда . наш сообщество образовать социальный проект направить преодоление культурный исчезновение . дело территория бежецкий район проблема стоить очень остро поддержка сторона участник группа просто необходимый .";2017-11-03 19:06:07;karjalan_kieli
"помочь перевод русский название деревня кудама луна остальной часть значит .";2017-11-06 14:30:52;karjalan_kieli
"здравствуйте подсказать пожалуйста связать язык карелов название осенний месяц явление живой неживой природа труд человек . заранее спасибо .";2017-11-09 22:03:50;karjalan_kieli
"здравствуйте . подсказать пожалуйста по-карельски новый год . найти фраза . верный .";2017-11-13 22:24:51;karjalan_kieli
"начать изучение карельский язык . ";2017-11-18 13:31:04;karjalan_kieli
"полезный информация изучение карельский язык .";2017-11-22 15:12:00;karjalan_kieli
"мужской народный хор тервеха бриха . город олонец .";2017-11-24 14:50:01;karjalan_kieli
"подсказать пожалуйста приобрести сборник .";2017-11-27 11:23:40;karjalan_kieli
"сегодня декабрь тверь создать региональный общественный организация новый карелия цель который стать возрождение тверской карелия северо-восток тверской область . председатель троо новый карелия избрать предприниматель юрист тверской карельский историк общественный деятель автор книга тверская карелия . рождение нация карельский государство тверщиня михаил дронуть . создание карельский государство северо-восточный район тверской область придание карельский язык официальный статус тверской карелия превращение тверской карелия территория инновационный развитие первый вводить концепт региональный федеральный повестка . наш глубокий убеждение главный условие возрождение тверской карелия являться создание карельский государство . тверская карелия исторический территория древний бежецкий верх должный обрести собственный субъектность . форма карельский государство мочь предмет дискуссия это отдельный субъект федерация вид республика административно-территориальный единица особый статус состав тверской регион пример коми-пермяцкий округ состав пермский край возможный вариант . очевидный придание тверской карелия какой-либо субъектность никакой развитие наш территория просто-напросто невозможно . всё жить северо-восток тверской область русский карел большой счёт бросить федеральный тверской региональный власть произвол судьба никто нужный . наш некогда богатый край лежать руина запустение наиболее талантливый молодёжь уезжать местный бизнес иметь никакой защита протекция тверь москва говорить этнический группировка . наш общий задача заключаться вернуть процветание развитие наш земля вдохнуть новый жизнь тверская карелия . наш земля никакой полезный ископаемое . создать собственный субъект северо-восток тверской область смочь непосредственно участвовать федеральный региональный программа развитие отстаивать интерес собственный население федеральный правительство государственный корпорация это успех делать якутия татарстан белгородский калужский область активно защищать поддерживать местный бизнес способствовать продвижение интерес продукция федеральный международный уровень . наш талантливый университетский молодёжь появиться возможность реализовать дом стать новый управленческий образовательный элита регион . создание карельский государство выгодно весь житель тверской карелия сегодняшний день это единственный реальный возможность северо-восточный район тверской область стать что-то бóльший нежели тверская окраина получить свой шанс исторический развитие . тверская региональный общественный организация новый карелия приглашать взаимодействие сотрудничество весь безразличный судьба тверской карелия . общий усилие смочь победить разруха запустение возродить наш земля новый жизнь снова вернуть берег медведица молога былой достаток процветание . название организация новый карелия также глубоко символичный . свой время именно новокарельский район стать первый карельский национальный район тверской земля административный центр село толмач год являться неофициальный столица весь тверской карелия её сакральный сердце неугасающий символ верность свой земля свой корень традиция . кроме пример финн тверской карел хотеть показать весь мир стать современный нация прибегать маскарад переодевание деревенский костюм столетний давность всякий кокошник вышитый рубашка современный нация это первый очередь сохранение свой язык верность свой земля развитие новый технология позволять создать новый качество жизнь тверской карелия . самый длинный дорога начинаться первый шаг декабрь тверской карел сделать шаг .  начало свой рука конец божий . ";2017-12-06 16:00:09;karjalan_kieli
