topic,text,date,domain,type_group
язык,"Pruazniekan aigah gost'at syödih magien suupan. Suuret passibot suupan keittäjile - Borovikan Annile, Polevajan Nataljale da Rybnikovan Marinale! Da abuniekoile - Ivanovan Vera Dmirjijevnale da Nikolajevan Aleksandrale. Tervehytty da kaikkie hyviä!",2018-08-02 18:45:12,karjalankielenkodi,multifunctional
язык,"💢 SUOMEN KIELI 💢 ФИНСКИЙ ЯЗЫК 💢СЛОВО № 9⃣2⃣ ✍🏻 ESIMERKKI | ПРИМЕР    Пример со словом ILVES 💢ILVEKSELLÄ ON TUPSUKORVAT, KIRJAVA TURKKI JA ISOT TASSUT.💢    🙇‍♂Прослушай пример, повтори за диктором и попробуй перевести на русский язык! Cделай репост и напиши перевод на своей стене.  Можешь также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👱‍♀Пример читает Инна Нипполайнен из Ресурсного языкового медиацентра карелов, вепсов и финнов Республики Карелия.    #100словокарелии #100sanaa #karjala #karjala100 #suomen_kieli #kielikeskus",2020-11-24 13:00:03,satasanaa,language
язык,"💢 SUOMEN KIELI 💢 ФИНСКИЙ ЯЗЫК 💢СЛОВО № 9⃣4⃣ ✍🏻 ESIMERKKI | ПРИМЕР    Пример со словом LUMI 💢MARRASKUUSSA LUMI SATAA USEIN, MUTTA SULAA NOPEASTI.💢    🙇‍♂Прослушай пример, повтори за диктором и попробуй перевести на русский язык! Cделай репост и напиши перевод на своей стене.  Можешь также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👱‍♀Пример читает Наталья Денисова из Ресурсного языкового медиацентра карелов, вепсов и финнов Республики Карелия.    #100словокарелии #100sanaa #karjala #karjala100 #suomen_kieli #kielikeskus",2020-12-02 13:00:08,satasanaa,language
язык,"Тексты на карельском язык с переводом на русский. Собственно карельское наречие - Толмачевский говор.  Источники:   Культура повседневности карельской семьи (конец XIX - первая треть ХХ в.), (2014). Новак И.П., Тверские диалекты карельского языка: Фонетика. Фонология, (2016). Г.Н. Макаров, Образцы карельской речи. Калининские говоры, (1963).",2021-01-05 11:00:00,learning_karelian_language,language
язык,"💢 SUOMEN KIELI 💢 ФИНСКИЙ ЯЗЫК 💢СЛОВО № 5⃣ METSÄ ✍🏻 ESIMERKKI | ПРИМЕР    Пример со словом METSÄ:  💢RESIDENSSI SIJAITSEE KAUNIISSA METSÄSSÄ. 💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👱‍♀Пример читает Маргарита Пехконен из [club17311996|Karjalan Sanomat] - газеты на финском языке, которая выходит в Петрозаводске раз в неделю.    #100словокарелии #100sanaa #karjala #karjala100 #suomen_kieli #kielikeskus #karjalansanomat",2020-01-29 14:39:00,satasanaa,language
язык,"📝 Диктант на собственно карельском наречии карельского языка написали вчера в п. Пяозерский [club52127733|в этнокультурном центре ""Карельская изба""]!   Piäjärvellä pitimä sanelun karjalan kielellä, oli 8 henkie, +vetäjä Anni Vlasova; oli 4 koululaisie, lisäksi 2 h.- onlain. Meilä kaikki oltih aloittajat, sen takie teksti ""Turvakko"" näytti oikein vaikiena.Mie iče kirjutin Televizorin peräššä, ni juuri kerkesin kaikkie kirjuttua. Piätin kirjuttuua sanelua vanhalla tekstilla - Tuaton koivu. Se oli meilä sopiva. Tärkie on osallistua.Kerroin Kiestinkin kansanlauluja - kirjasta, oli mielenkiintoista. Vlasova Vieno ta muut karjalaseuran jäsenet suatih kirjat lahjaksi.  #karjalankielennedäli #karjalankielennetäli",2020-11-11 9:38:56,desyatiletieyazykovkarelia,language
язык,"💢 VIENANKARJALA 💢 СОБСТВЕННО КАРЕЛЬСКИЙ 💢СЛОВО № 6⃣0⃣  ✍🏻 ESIMERKKI | ПРИМЕР    Пример со словом MESI 💢TULOU MESI RUOKAH .💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    🧒Пример читает Мария Спицына из ""Oma Mua"" — газеты на карельском языке, которая выходит раз в неделю в Петрозаводске.    #100словокарелии #100sanaa #karjala #karjala100 #vienankarjala #karjalan_kieli #omamua #kielikeskus",2020-08-03 14:00:09,satasanaa,language
язык,"💢 LIVVINKARJALA 💢 ЛИВВИКОВСКИЙ 💢СЛОВО № 9⃣3⃣ ✍🏻 EZIMERKI | ПРИМЕР    Пример со словом PEDRU 💢SANOTTIH, OLI MEIJÄN GI MEČIS PEDRUA.💢    🙇‍♂Прослушай пример, повтори за диктором и попробуй перевести на русский язык! Cделай репост и напиши перевод на своей стене.  Можешь также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👩‍🦰Пример читает Элина Потапова - из ""Oma Mua"" — газеты на карельском языке, которая выходит раз в неделю в Петрозаводске.    #100словокарелии #100sanaa #karjala #karjala100 #livvinkarjala #karjalan_kieli #omamua #kielikeskus #omamua",2020-11-25 12:00:12,satasanaa,language
язык,"💢 LIVVINKARJALA 💢 ЛИВВИКОВСКИЙ 💢СЛОВО № 6⃣ 1⃣ ✍🏻 EZIMERKI | ПРИМЕР    Пример со словом VUARU 💢 VUARU ON MÄGIE MADALEMBI.💢    🙇‍♂Прослушай пример, повтори за диктором и попробуй перевести на русский язык! Cделай репост и напиши перевод на своей стене.  Можешь также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👩‍🦰Пример читает Наталья Синицкая - генеральный директор издательства ""Периодика"".    #100словокарелии #100sanaa #karjala #karjala100 #livvinkarjala #karjalan_kieli #omamua #kielikeskus #omamua",2020-08-05 12:00:08,satasanaa,language
язык,METSÄMANSIKKA - ЗЕМЛЯНИКА  Хороший способ закреплять новые слова - это произносить их и использовать в жизни! Как делает это Даниил Ульянов ) Берите пример и присылайте нам своё видео в личные сообщения или размещайте на своей страничке с хештегом #100sanaa!  #100sanaa #suomenkieli,2020-06-30 19:26:00,satasanaa,language
язык,"💢 VEPSÄN KEL' 💢 ВЕПССКИЙ 💢СЛОВО № 🔟 LIDN   ✍🏻 OZUTEZ | ПРИМЕР    Пример со словом LIDN:  💢MINUN SEBRANIK RADAB LIDNAS.💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👩‍🦱Пример читает Дарья Швецова из [club54326264|""KODIMA""] — газеты на вепсском и русском языке, которая выходит раз в месяц в Петрозаводске.    #100словокарелии #100sanaa #karjala #karjala100 #vepsän_kel #вепсский #kielikeskus #kodima",2020-02-13 13:22:00,satasanaa,language
язык,"СЛОВО № 8⃣8⃣ KODI / KOTI   Восемьдесят восьмое слово о Карелии – ДОМ   В русском языке слово дом обозначает и строение, и родной очаг. В карельском, вепсском и финском для этих понятий есть разные слова. Слово koti/kodi означает место, где вы живете, где горит огонь в печи, где вы чувствуете себя в безопасности.   💢Ливвиковский карельский (livvinkarjala): KODI   💢Собственно карельский (vienankarjala): KOTI   💢Людиковский (lyydi): KODI   💢Вепсский (vepsän kel´): KODI   💢Финский (suomi): KOTI   🙇‍♂Повторяйте за дикторами, тренируйте произношение!    ❤Предлагайте свои любимые слова о Карелии:  ✏В теме обсуждения по ссылке: https://vk.com/topic-190681663_41596124  📹 Снимайте видеоролики и присылайте в личные сообщения группы или выкладывайте у себя на странице с хештэгом #100sanaa.    🎨Иллюстрация к слову ""Дом"" - Дмитрий Дмитриев.    #100словокарелии #100sanaa #karjala #karjala100 #karjalan_kieli #suomen_kieli #vepsän_kel #kielikeskus",2020-11-09 11:00:10,satasanaa,language
язык,"💢 SUOMEN KIELI 💢 ФИНСКИЙ ЯЗЫК 💢СЛОВО № 3⃣9⃣ ✍🏻 ESIMERKKI | ПРИМЕР    Пример со словом HYTTYNEN 💢 HYTTYSET OVAT MONIEN LINTUJEN, HÄMÄHÄKKIEN JA SAMMAKOIDEN RAVINTOA.💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👱‍♀Пример читает Инна Нипполайнен из Ресурсного языкового медиацентра карелов, вепсов и финнов Республики Карелия.    #100словокарелии #100sanaa #karjala #karjala100 #suomen_kieli #kielikeskus #karjalansanomat",2020-05-26 17:10:28,satasanaa,language
язык,"TÄL NEDÄLIL MEDIAKESKUKSES /  НА ЭТОЙ НЕДЕЛЕ В РЕСУРСНОМ ЦЕНТРЕ   📖 10.05 – kolmaspäivy / среда  17:30 – Вепсский язык (преподаватель Г.С. Бабурова); 18:00 – Карельский язык - онлайн  (собственно карельское наречие, преподаватель У.М. Тикканен)    📖 11.05 – nelläspäivy / четверг 17:00 – Детская развивающая группа Kičči-kočči  (А.О. Картынен, М.А. Туккия);  18:00 – Вепсский язык (преподаватель М.М. Шашина); 18:30 – Финский язык  (бесплатная группа, преподаватель Т.А. Морозова)   📖 13.05 – suovattu / суббота  10:00, 12:00 – Финский язык  (платные группы, преподаватель Т.А. Морозова);  12:00, 13:30 – Карельский язык  (людиковское наречие, преподаватель М.А. Кочерина)   #aikataulu #kielikeskus #tapahtumat #petroskoi #karjala #ptz #karjalan_kieli #livvin_karjala #vepsänkel #suomen_kieli",2023-05-10 12:57:33,mediacenter_periodika,multifunctional
язык,"СЛОВО № 1⃣6⃣ ORAVU / ORAV / ORAVA   Шестнадцатое слово о Карелии - БЕЛКА.  Конечно, это не какой-то отличительный символ Карелии - белки водятся и в других местах. В культуре коренных народов эти зверьки тем не менее занимали не последнее место - на белок охотились, про белок рассказывали сказки, а в древности, беличьи шкурки служили прародителям карелов, вепсов и финнов деньгами и единицами счета. О том, что белка сопровождает прибалтийско-финский народы с далекого прошлого, свидетельствует общий корень названия этих юрких зверьков.   💢Ливвиковский карельский (livvinkarjala): ORAVU   💢Собственно карельский (vienankarjala / varsinaiskarjala): ORAVA   💢Людиковский (lyydi): ORAV   💢Вепсский (vepsän kel´): ORAV   💢Финский (suomi): ORAVA    🙇‍♂Повторяйте за дикторами, тренируйте произношение, запоминайте новые слова.   🐿Пишите в комментариях, где вам встречалась белка? В лесу, на страницах книги или еще в каком-нибудь интересном месте?   🎨Иллюстрация к слову ""Белка"" - [id10395383|Дмитрий Дмитриев].    #100словокарелии #100sanaa #karjala #karjala100 #karjalan_kieli #suomen_kieli #vepsän_kel #kielikeskus",2020-03-04 9:51:30,satasanaa,language
язык,Meijän raportu karjalan kielel,2020-03-13 21:09:12,karjalankielenkodi,multifunctional
язык,"💢 LIVVINKARJALA 💢 ЛИВВИКОВСКИЙ 💢СЛОВО № 9⃣6⃣ ✍🏻 EZIMERKI | ПРИМЕР    Пример со словом ALAINE 💢PANE ALAZET KÄDEH.💢    🙇‍♂Прослушай пример, повтори за диктором и попробуй перевести на русский язык! Cделай репост и напиши перевод на своей стене.  Можешь также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👩‍🦰Пример читает Элина Потапова - из ""Oma Mua"" — газеты на карельском языке, которая выходит раз в неделю в Петрозаводске.    #100словокарелии #100sanaa #karjala #karjala100 #livvinkarjala #karjalan_kieli #omamua #kielikeskus #omamua",2020-12-07 12:00:11,satasanaa,language
язык,"💫Центр финского языка Республики Карелия готовится к новому периоду работы. Его президент и прекрасный педагог нашего ресурсного центра Татьяна Исламаева рассказала Viestit - Karjala, какие новые проекты она планирует, почему познакомилась с белорусскими учителями финского языка и как сохранить финский язык в Республике Карелия.  Tatjana Islamajeva vastaa    Suomen kielen keskus Karjalan tasavallassa valmistautuu uuteen toimintakauteen. Sen puheenjohtaja Tatjana Islamajeva kertoi meille, mitä uusia projekteja hän suunnittelee, miksi hän tapasi valkovenäläisiä suomen kielen opettajia ja miten voi säilyttää suomen kieltä Karjalan tasavallassa.",2022-07-27 14:01:00,mediacenter_periodika,multifunctional
язык,"Закрепляем слова, пройденные на этой неделе:  📍 VERKO / VERKKO / VERKK / VERK    Примеры:  💢Livvinkarjala / Ливвиковский: Verkoh puutui äijy kalua. - В сеть попало много рыбы.   💢Vienankarjala / Собственно карельский: Mie pyyvvän kalua verkolla. - Я ловлю рыбу сетью.   💢Lyydin kiel' / Людиковский: Hämähäkkiine kudoi verkon. – Паучок сплёл паутину.   💢 Vepsän kel' / Вепсский: Dedoi kuidab verkoid. - Дедушка сушит сети.   💢Suomen kieli / Финский язык: Tänään kalastaminen kalaverkolla on kielletty. - Сегодня ловля рыбы сетью запрещена.   #karjala #karjala100 #karjalan_kieli #suomen_kieli #vepsän_kel #kielikeskus",2020-10-02 11:00:02,satasanaa,language
язык,"Закрепляем слова, пройденные на этой неделе:  📍KADAI / KATAJA / KADAG   Примеры:  💢Livvinkarjala / Ливвиковский: Kadai on luja, se lämbyy, ga ei katkie. – Можжевельник крепкий, он гнётся, но не ломается.    💢Vienankarjala / Собственно карельский: Katajan marjat ollah karkiet. – Ягоды можжевельника горькие.    💢Lyydin kiel' / Людиковский: Hän kylys löukuti ičet kadainvastal. –Он в бане парил себя можжевеловым веником.    💢Vepsän kel' / Вепсский: Kadagen marjad oma tarbhaižed . – Ягоды можжевельника полезны.    💢Suomen kieli / Финский язык: Katajan pehmeät kävyt muistuttavat marjoja. – Мягкие шишки можжевельника напоминают ягоды.    #karjala #karjala100 #karjalan_kieli #suomen_kieli #vepsän_kel #kielikeskus",2020-07-31 12:00:05,satasanaa,language
язык,"Vuotat kunnon talvie, sukset tervuat, yhtä kuin halajat hiihtämäh piäsendyä, no...eini myttyistä talvie, huomneksesta vettä valau kuin syksyllä... Ottais metsähiini koko talven... (Ждёшь настоящей зимы, лыжы смолишь, всё время рвёшься покататься на лыжах, но...никакой зимы, с утра льёт дождь, словно осенью. Леший бы побрал такую зиму.).",2016-11-16 12:45:04,karelian_speakers,multifunctional
язык,"СЛОВО № 5⃣0⃣ HORMU / HORŠMA / IJIVANČAJU / HORMHEIN / HORSMA    Пятидесятое слово о Карелии – ИВАН-ЧАЙ.   Яркие цветы иван-чая распускаются в июле, украшая середину лета. Он растет на пустырях и на вырубках, вдоль железных и лесных дорог по всей Карелии. Его с удовольствием жуют овечки, из него можно сделать шикарный букет и только ленивый не пробовал приготовить и заварить чай из его листочков. Чай из иван-чая продается в любом сувенирном магазине Карелии. Теперь вы будете знать, как называется этот настоящий символ нашей республики!   💢Ливвиковский карельский (livvinkarjala): HORMU   💢Собственно карельский (vienankarjala): HORŠMA   💢Людиковский (lyydi): IJIVANČAJU    💢Вепсский (vepsän kel´): HORMHEIN   💢Финский (suomi): HORSMA    🙇‍♂Повторяйте за дикторами, тренируйте произношение!    ❤Предлагайте свои любимые слова о Карелии:  ✏В теме обсуждения по ссылке: https://vk.com/topic-190681663_41596124  📹 Снимайте видеоролики и присылайте в личные сообщения группы или выкладывайте у себя на странице с хештэгом #100sanaa.    🎨Иллюстрация к слову ""Иван-чай"" - Дмитрий Дмитриев.    #100словокарелии #100sanaa #karjala #karjala100 #karjalan_kieli #suomen_kieli #vepsän_kel #kielikeskus",2020-07-02 14:59:00,satasanaa,language
язык,"Закрепляем слова, пройденные на этой неделе:  📍JOUČEN / D'OUCEN / JOUCEN / JOUTSEN   Примеры:  💢Livvinkarjala / Ливвиковский: Jouččenet eletäh kaksittai. - Лебеди живут парами.   💢Vienankarjala / Собственно карельский: Halla hanhen šiiven alla, talvi jouččenen takana. – С отлётом гусей заморозки, с отлётом лебедей – зима.   💢Lyydin kiel' / Людиковский: D’oucned oldah čomad lindud. - Лебеди - красивые птицы.  💢Vepsän kel' / Вепсский: Čoma joucen lendi meidennoks. –К нам прилетел красивый лебедь.   💢Suomen kieli / Финский язык: Itämerensuomalaiset heimot ovat pitäneet joutsenia pyhinä. - Прибалтийско-финские племена считали лебедей священными.   #karjala #karjala100 #karjalan_kieli #suomen_kieli #vepsän_kel #kielikeskus",2020-05-10 15:18:00,satasanaa,language
язык,"💢 VEPSÄN KEL' 💢 ВЕПССКИЙ 💢СЛОВО № 6⃣ 7⃣ ✍🏻 OZUTEZ | ПРИМЕР    Пример со словом BOL 💢 BABOI PAŠTAB PIRGAD BOLANKE. 💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👩‍🦱Пример читает Дарья Швецова из газеты ""Кодима"", которая выходит раз в месяц в Петрозаводске.    #100словокарелии #100sanaa #karjala #karjala100 #vepsän_kel #вепсский #kielikeskus #kodima",2020-08-27 10:00:03,satasanaa,language
язык,"Я родилась на Севере Карелии в Тикше,бывший Ругозерский,потом Сегежский,теперь Муезерский район.В семье Карельской,до 6 лет не знала русского языка ,пока не пошла в школу.Но к сожалению забыла Карельский язык,но всё равно какая-то ностальгия есть.Теперь живя в Финляндии говорю на финском,но услышав карельское слово и разговор,душа радуется.Поэтому с удовольствием буду вспоминать свой язык.",2016-01-20 9:32:08,learning_karelian_language,language
язык,"💢 LYYDIN KIEL' 💢 ЛЮДИКОВСКИЙ 💢СЛОВО № 1⃣6⃣ ORAV    ✍🏻 OZUTEZ | ПРИМЕР    Пример со словом ORAV  💢ORAV SYÖB KÄBYID.💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Напоминаем, что самый активный участник в конце месяца получит подарок от команды проекта!    👩‍💼Пример читает Людмила Алексеева — преподаватель курсов людиковского наречия карельского языка.    #100словокарелии #100sanaa #karjala #karjala100 #lyydi #karjalan_kieli #kielikeskus",2020-03-04 18:40:00,satasanaa,language
язык,Suuret passibot meijän suurele avvuttajale Inna Gokkoevale. Häi opai on andanuh den'guabuu Karjalan kielen koin hyväkse ( 1000 rubl'ua ). Tervehytty da ozua! Большое спасибо нашему постоянному помощнику И.Н. Гоккоевой за очередной вклад в строительство Дома карельского языка в размере 1000 рублей. Здоровья и счастья!,2014-08-28 23:32:23,karjalankielenkodi,multifunctional
язык,"Песня №8 ""100 песен Oma pajo"". Balladi Parosta ta Ontipasta    Ite miun kantele,  Nakra miun kantele.    Paro ta Ontippa lähettih marjah.  Loli-loli-loli-loli-loli.    Paro ta Ontippa eksyttih meččäh.  Loli-loli-loli-loli-loli.    Mierolla eččimäh lähettih heitä.  Loli-loli-loli-loli-loli.    Pitälti ečittih, karjuttih tyhjäh.  Loli-loli-loli-loli-loli.    Löyvvettih siitä pimiestä mečästä.  Loli-loli-loli-loli-loli.    Parolta takki ta Ontipan lakki.  Loli-loli-loli-loli-loli.  (Raisa Remšujeva)  Автор текста, Раиса Ремшуева, родилась в деревне Толлорека Калевальского района в семье знаменитой сказительницы из Вокнаволока Сантры Ремшуевой.",2020-01-20 12:00:16,omapajo,festival
язык,"💢 LYYDIN KIEL' 💢 ЛЮДИКОВСКИЙ 💢СЛОВО № 5⃣ 1⃣  ✍🏻 OZUTEZ | ПРИМЕР    Пример со словом LAMBI  💢LAMBIŠ VOI SUADA MOISTA KALAD: AHVENID, HAUGID. 💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Самый активный участник в конце месяца получит подарок от команды проекта!    👩‍💼Пример читает Людмила Алексеева — преподаватель курсов людиковского наречия карельского языка.    #100словокарелии #100sanaa #karjala #karjala100 #lyydi #karjalan_kieli #kielikeskus",2020-07-06 16:00:08,satasanaa,language
язык,"💢 LYYDIN KIEL' 💢 ЛЮДИКОВСКИЙ 💢СЛОВО № 4⃣1⃣ ✍🏻 OZUTEZ | ПРИМЕР    Пример со словом TUOM:  💢ORASKUUZ CVETTIB ÄI TUOMED💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Самый активный участник в конце месяца получит подарок от команды проекта!    👩‍💼Пример читает Александра Родионова — научный сотрудник сектора языкознания ИЯЛИ КарНЦ РАН.    #100словокарелии #100sanaa #karjala #karjala100 #lyydi #karjalan_kieli #kielikeskus",2020-06-03 11:25:00,satasanaa,language
